   PRES_hPA   HGHT_m   TEMP_C   DWPT_C   RELH_Per   MIXR_gmpkg   DRCT_deg   SKNT_knot   THTA_K   THTE_K   THTV_K
 1001.0     16   36.0   26.0     56  21.71    135      6  309.1  375.7  313.1
 1000.0     27   37.6   25.6     51  21.21    330      7  310.8  376.3  314.7
  989.0    128   36.5   25.9     55  21.92    165     25  310.7  378.4  314.7
  969.0    316   34.6   26.6     63  23.29    176     18  310.5  382.6  314.8
  961.0    391   33.0   26.0     67  22.64    180     15  309.6  379.4  313.8
  949.0    505   31.6   26.3     73  23.38    175     28  309.4  381.4  313.7
  938.0    610   30.4   26.6     80  24.09    182     23  309.1  383.3  313.6
  926.0    726   30.6   23.6     66  20.28    189     18  310.5  373.0  314.2
  925.0    736   30.8   23.8     66  20.56    190     18  310.8  374.2  314.6
  922.0    765   31.2   23.2     63  19.87    192     17  311.5  373.0  315.2
  916.0    824   31.8   21.8     55  18.32    196     16  312.7  369.6  316.1
  901.0    973   31.6   19.6     49  16.21    207     13  314.0  364.6  317.0
  894.0   1043   32.0   18.0     43  14.75    212     11  315.1  361.3  317.9
  886.0   1124   32.2   13.2     32  10.87    218      9  316.1  350.5  318.2
  878.0   1205   32.4   10.4     26   9.10    224      7  317.1  346.1  318.9
  876.0   1226   32.2   10.3     26   9.03    225      7  317.1  345.9  318.8
  850.0   1495   29.4    8.4     27   8.20    210     11  316.9  343.1  318.5
  828.0   1727   27.0   -7.0     10   2.74    187     11  316.8  326.0  317.3
  819.0   1824   27.4  -10.6      7   2.09    177     11  318.2  325.4  318.6
  739.0   2719   19.8   -2.2     23   4.42     87     11  319.4  334.1  320.2
  700.0   3182   15.4   -0.6     33   5.26     40     11  319.5  336.8  320.5
  697.0   3218   14.2   -0.8     36   5.21     40     11  318.6  335.6  319.6
  612.0   4299    5.8   -6.2     42   3.95     28     16  321.0  334.2  321.7
  596.0   4515    5.0   -9.0     36   3.26     26     17  322.5  333.6  323.1
  579.0   4751    3.4   -5.6     52   4.37     23     18  323.3  338.0  324.1
  575.0   4807    4.0   -4.0     56   4.97     23     19  324.6  341.3  325.6
  572.0   4849    4.0   -9.0     38   3.40     22     19  325.1  336.8  325.8
  569.0   4892    3.2   -5.8     52   4.38     22     19  324.7  339.4  325.5
  564.0   4964    3.6   -4.4     56   4.92     21     20  325.9  342.6  326.9
  559.0   5036    3.2   -9.8     38   3.27     20     20  326.3  337.6  326.9
  557.0   5065    3.0  -10.6     36   3.08     20     20  326.4  337.1  327.0
  540.0   5315    1.4  -17.6     23   1.79     17     19  327.4  333.8  327.8
  528.0   5496    0.6  -16.4     27   2.02     15     18  328.6  335.8  328.9
  500.0   5930   -2.3  -29.3     11   0.68     10     15  330.2  332.8  330.3
  495.0   6010   -3.1  -31.1      9   0.58      7     14  330.1  332.4  330.3
  460.0   6581   -7.1  -31.9     12   0.58    345      5  332.2  334.4  332.3
  445.0   6840   -8.8  -32.3     13   0.57     20     20  333.1  335.3  333.2
  430.0   7107  -10.7  -32.7     15   0.57     18     18  334.0  336.2  334.1
  411.0   7453  -12.5  -37.5     10   0.37     16     15  336.0  337.5  336.1
  400.0   7660  -13.5  -42.5      7   0.23     15     13  337.4  338.3  337.4
  361.0   8428  -19.5  -39.5     15   0.34     54     11  339.4  340.8  339.4
  355.0   8552  -19.3  -40.3     14   0.32     61     10  341.3  342.6  341.3
  345.0   8763  -20.3  -47.3      7   0.16     72      9  342.7  343.4  342.7
  316.0   9405  -24.9  -49.9      8   0.13    105      7  345.0  345.6  345.0
  309.0   9567  -25.5  -55.5      4   0.07    114      7  346.4  346.7  346.4
  300.0   9780  -26.7  -62.7      2   0.03    125      6  347.6  347.8  347.6
  280.0  10270  -30.7  -59.3      4   0.05     90      4  348.8  349.0  348.8
  256.0  10905  -35.9  -54.9     12   0.09     66      9  350.2  350.6  350.2
  250.0  11070  -37.1  -56.1     12   0.08     60     10  350.8  351.1  350.8
  222.0  11878  -44.5  -56.5     25   0.08     92     11  351.5  351.9  351.5
  206.0  12375  -47.1  -63.1     14   0.04    112     11  355.0  355.2  355.0
  200.0  12570  -48.7  -65.7     12   0.03    120     11  355.5  355.6  355.5
  197.0  12666  -49.5  -66.3     12   0.03    120     15  355.7  355.8  355.7
  179.0  13272  -54.8  -70.2     13   0.02     30      5  357.0  357.1  357.0
  159.0  14021  -61.3  -75.1     14   0.01    295     18  358.3  358.3  358.3
  150.0  14390  -64.5  -77.5     15   0.01    265     10  358.8  358.8  358.8
  143.0  14671  -66.6  -79.9     14   0.00    210      4  360.1  360.1  360.1
  105.0  16486  -80.1  -95.1      7   0.00    225      9  367.6  367.6  367.6
  101.0  16704  -82.5  -97.5      6   0.00    225     14  367.0  367.0  367.0
  100.0  16760  -82.5  -97.5      6   0.00    220     14  368.1  368.1  368.1
   92.8  17178  -81.9  -98.9      4   0.00    187     12  377.2  377.2  377.2
   88.0  17476  -81.7 -100.7      3   0.00    164     11  383.4  383.4  383.4
   81.3  17922  -80.7 -100.7      2   0.00    129      9  394.2  394.2  394.2
   77.0  18228  -80.5  -99.5      3   0.00    106      8  400.8  400.8  400.8
   71.0  18689  -78.3  -98.1      3   0.00     70      6  414.9  414.9  414.9
   70.0  18770  -77.9  -97.9      3   0.00     80      6  417.4  417.4  417.4
   67.1  19012  -77.7  -97.7      3   0.00     88     11  422.9  422.9  422.9
   65.4  19158  -78.5  -98.5      3   0.00     93     14  424.3  424.3  424.3
   62.5  19420  -73.5  -94.5      3   0.00    101     19  440.9  440.9  440.9
   58.0  19858  -72.4  -94.2      3   0.00    115     27  452.9  452.9  452.9
   57.0  19960  -72.1  -94.1      2   0.00    117     26  455.8  455.8  455.8
   53.8  20301  -71.3  -96.3      1   0.00    123     21  465.2  465.2  465.2
   52.5  20446  -67.7  -95.7      1   0.00    125     19  476.8  476.9  476.8
   50.0  20740  -67.3  -95.3      1   0.00    130     15  484.5  484.5  484.5
   46.9  21127  -66.1  -94.1      1   0.00    111     17  496.3  496.3  496.3
   46.0  21246  -65.8  -93.9      1   0.00    105     17  499.9  499.9  499.9
   39.4  22192  -63.1  -92.1      1   0.00     77     45  529.2  529.2  529.2
   39.0  22254  -63.6  -92.7      1   0.00     75     47  529.4  529.4  529.4
   38.1  22397  -64.9  -93.9      1   0.00     77     49  529.7  529.7  529.7
   36.0  22743  -65.1  -94.1      1   0.00     83     53  537.8  537.9  537.8
   34.5  23003  -64.3  -93.3      1   0.00     87     56  546.5  546.5  546.5
   33.3  23219  -64.7  -93.7      1   0.00     90     59  551.0  551.0  551.0
   31.9  23482  -64.5  -93.5      1   0.00     94     62  558.4  558.4  558.4
   30.0  23860  -61.5  -91.5      1   0.00    100     67  576.4  576.4  576.4
   28.9  24093  -57.9  -88.9      1   0.01    102     69  592.5  592.5  592.5
   27.2  24478  -54.5  -86.5      1   0.01    105     74  612.4  612.5  612.4
   27.0  24526  -54.1  -86.2      1   0.01    105     74  614.6  614.7  614.6
   26.8  24574  -53.8  -86.0      1   0.01    105     74  617.0  617.0  617.0
   25.0  25023  -50.5  -83.5      1   0.02    101     67  638.8  638.9  638.8
   23.2  25514  -46.7  -80.7      1   0.03     98     59  663.7  664.0  663.7
   22.2  25808  -43.3  -78.3      1   0.04     95     55  682.2  682.6  682.2
   22.0  25869  -42.7  -77.9      1   0.04     95     54  685.7  686.1  685.7
   21.2  26120  -40.3  -76.3      1   0.06     97     50  700.3  700.9  700.3
   20.5  26350  -38.3  -75.3      1   0.07     99     46  713.1  713.8  713.1
   20.0  26520  -36.5  -74.5      1   0.08    100     43  723.6  724.5  723.7
   19.6  26660  -36.5  -74.5      1   0.08    108     30  727.8  728.7  727.9
   19.0  26874  -37.7  -75.3      1   0.07    120     10  730.7  731.5  730.7
   18.2  27170  -39.3  -76.3      1   0.07    153     15  734.6  735.3  734.6
   17.1  27595  -41.9  -77.9      1   0.05    200     23  739.5  740.1  739.5
   15.4  28300  -44.1  -79.1      1   0.05    280     36  754.7  755.3  754.7
   15.0  28478  -43.5  -78.6      1   0.06    300     39  762.6  763.2  762.6
